"Pos","Comp","Date","Match","Score","Goalkeeper","Goalscorer","Min","Part"
252,"SerA","3/24/2000","Milan - Juventus","2 - 0","Van der Sar","Shevchenko pen.","84","2 - 0"
253,"SerA","10/22/2000","Milan - Juventus","2 - 2","Van der Sar","Ambrosini","59","1 - 0"
254,"SerA","10/22/2000","Milan - Juventus","2 - 2","Van der Sar","Shevchenko","60","2 - 0"
255,"SerA","12/9/2001","Milan - Juventus","1 - 1","Buffon","Shevchenko",23,"1 - 0"
256,"CI","1/23/2002","Milan - Juventus","1 - 2","Carini","Javi Moreno",39,"1 - 0"
257,"CI","2/6/2002","Juventus - Milan","1 - 1","Carini","José Mari",27,"0 - 1"
258,"SerA","11/10/2002","Juventus - Milan","2 - 1","Buffon","Pirlo pen.",32,"2 - 1"
259,"SerA","3/22/2003","Milan - Juventus","2 - 1","Buffon","Shevchenko",4,"1 - 0"
260,"SerA","3/22/2003","Milan - Juventus","2 - 1","Buffon","Inzaghi F.",25,"2 - 1"
261,"SI","8/3/2003","Juventus - Milan","1 - 1","Buffon","Pirlo pen.",106,"0 - 1"
262,"SerA","11/1/2003","Milan - Juventus","1 - 1","Buffon","Tomasson","65","1 - 0"
263,"SerA","3/14/2004","Juventus - Milan","1 - 3","Buffon","Shevchenko",25,"0 - 1"
264,"SerA","3/14/2004","Juventus - Milan","1 - 3","Buffon","Seedorf","63","0 - 2"
265,"SerA","3/14/2004","Juventus - Milan","1 - 3","Buffon","Seedorf","75","0 - 3"
266,"SerA","10/30/2005","Milan - Juventus","3 - 1","Chimenti","Seedorf",14,"1 - 0"
267,"SerA","10/30/2005","Milan - Juventus","3 - 1","Chimenti","Kaká",26,"2 - 0"
268,"SerA","10/30/2005","Milan - Juventus","3 - 1","Chimenti","Pirlo",45,"3 - 0"
269,"SerA","4/12/2008","Juventus - Milan","3 - 2","Buffon","Inzaghi F.",14,"1 - 1"
270,"SerA","4/12/2008","Juventus - Milan","3 - 2","Buffon","Inzaghi F.",31,"1 - 2"
271,"SerA","12/14/2008","Juventus - Milan","4 - 2","Manninger","Pato",31,"1 - 1"
272,"SerA","12/14/2008","Juventus - Milan","4 - 2","Manninger","Ambrosini","56","3 - 2"
