"Pos","Comp","Date","Match","Score","Goalscorer","Goalkeeper","Min","Part"
31,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Munerati","Midali II",28,"2 - 1"
32,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Pastore","Midali II","53","3 - 1"
33,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Pastore","Midali II","60","4 - 1"
34,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Gambino G.","Midali II","78","5 - 2"
35,"NOGU","10/25/1925","Juventus - Milan","6 - 0","Viola J. pen.","Caviglia",9,"1 - 0"
36,"NOGU","10/25/1925","Juventus - Milan","6 - 0","Hirzer","Caviglia",27,"2 - 0"
37,"NOGU","10/25/1925","Juventus - Milan","6 - 0","Hirzer","Caviglia",34,"3 - 0"
38,"NOGU","10/25/1925","Juventus - Milan","6 - 0","Pastore","Caviglia",37,"4 - 0"
39,"NOGU","10/25/1925","Juventus - Milan","6 - 0","Torriani","Caviglia","54","5 - 0"
40,"NOGU","10/25/1925","Juventus - Milan","6 - 0","Pastore","Caviglia","78","6 - 0"
41,"NOGU","3/28/1926","Milan - Juventus","1 - 2","Vojak I","Carmignato",8,"0 - 1"
42,"NOGU","3/28/1926","Milan - Juventus","1 - 2","Hirzer","Carmignato","82","1 - 2"
45,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Hirzer","Rossoni",15,"1 - 0"
46,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Hirzer","Rossoni",29,"2 - 0"
47,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Munerati","Rossoni","52","3 - 1"
48,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Pastore","Rossoni","54","4 - 1"
49,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Hirzer","Rossoni","60","5 - 1"
50,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Pastore","Rossoni","70","6 - 1"
51,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Pastore","Rossoni","75","7 - 1"
52,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Vojak I","Rossoni","88","8 - 2"
53,"NOGU","6/24/1928","Milan - Juventus","3 - 1","Vojak I","Compiani",24,"0 - 1"
54,"SerA","12/8/1929","Juventus - Milan","3 - 1","Orsi","Compiani",34,"1 - 1"
55,"SerA","12/8/1929","Juventus - Milan","3 - 1","Zanni","Compiani","54","2 - 1"
56,"SerA","12/8/1929","Juventus - Milan","3 - 1","Orsi","Compiani","59","3 - 1"
57,"SerA","5/4/1930","Milan - Juventus","1 - 1","Orsi","Compiani",2,"0 - 1"
58,"SerA","10/5/1930","Milan - Juventus","0 - 3","Munerati","Compiani",4,"0 - 1"
59,"SerA","10/5/1930","Milan - Juventus","0 - 3","Munerati","Compiani","73","0 - 2"
60,"SerA","10/5/1930","Milan - Juventus","0 - 3","Orsi","Compiani","78","0 - 3"
61,"SerA","2/15/1931","Juventus - Milan","3 - 3","Ferrari","Compiani",7,"1 - 0"
62,"SerA","2/15/1931","Juventus - Milan","3 - 3","Orsi pen.","Compiani","67","2 - 3"
63,"SerA","2/15/1931","Juventus - Milan","3 - 3","Munerati","Compiani","73","3 - 3"
64,"SerA","10/11/1931","Juventus - Milan","2 - 0","Orsi","Compiani",5,"1 - 0"
65,"SerA","10/11/1931","Juventus - Milan","2 - 0","Ferrari","Compiani","54","2 - 0"
66,"SerA","1/22/1933","Milan - Juventus","1 - 1","Borel II","Compiani","46","0 - 1"
67,"SerA","6/11/1933","Juventus - Milan","3 - 0","Borel II","Compiani",16,"1 - 0"
68,"SerA","6/11/1933","Juventus - Milan","3 - 0","Sernagiotto","Compiani","59","2 - 0"
69,"SerA","6/11/1933","Juventus - Milan","3 - 0","Borel II","Compiani","67","3 - 0"
70,"SerA","12/10/1933","Milan - Juventus","3 - 1","Cesarini","Compiani",16,"1 - 1"
71,"SerA","4/22/1934","Juventus - Milan","4 - 0","Ferrari","Compiani",5,"1 - 0"
72,"SerA","4/22/1934","Juventus - Milan","4 - 0","Ferrari","Compiani",10,"2 - 0"
73,"SerA","4/22/1934","Juventus - Milan","4 - 0","Borel II","Compiani",15,"3 - 0"
74,"SerA","4/22/1934","Juventus - Milan","4 - 0","Sernagiotto","Compiani","49","4 - 0"
75,"SerA","1/20/1935","Juventus - Milan","1 - 0","Borel II","Bonetti",37,"1 - 0"
76,"SerA","12/22/1935","Juventus - Milan","3 - 1","Cason pen.","Zorzan","55","1 - 0"
77,"SerA","12/22/1935","Juventus - Milan","3 - 1","Menti","Zorzan","60","2 - 0"
78,"SerA","12/22/1935","Juventus - Milan","3 - 1","Borel I","Zorzan","65","3 - 0"
79,"SerA","4/19/1936","Milan - Juventus","2 - 1","Gabetto","Zorzan","86","2 - 1"
80,"SerA","12/27/1936","Milan - Juventus","3 - 4","Borel II","Zorzan",6,"0 - 1"
81,"SerA","12/27/1936","Milan - Juventus","3 - 4","Borel II pen.","Zorzan",15,"0 - 2"
82,"SerA","12/27/1936","Milan - Juventus","3 - 4","Gabetto","Zorzan",26,"0 - 3"
83,"SerA","12/27/1936","Milan - Juventus","3 - 4","Borel II","Zorzan","60","1 - 4"
84,"SerA","5/2/1937","Juventus - Milan","2 - 0","Gabetto","Zorzan","54","1 - 0"
85,"SerA","5/2/1937","Juventus - Milan","2 - 0","Scagliotti","Zorzan","72","2 - 0"
86,"SerA","1/9/1938","Juventus - Milan","2 - 0","Monti L.","Zorzan",14,"1 - 0"
87,"SerA","1/9/1938","Juventus - Milan","2 - 0","Borel II","Zorzan","58","2 - 0"
88,"SerA","4/24/1938","Milan - Juventus","1 - 1","Bellini","Zorzan",44,"0 - 1"
89,"SerA","1/1/1939","Juventus - Milano","2 - 2","Defilippis","Zorzan","47","1 - 2"
90,"SerA","1/1/1939","Juventus - Milano","2 - 2","Gabetto","Zorzan","60","2 - 2"
91,"SerA","11/5/1939","Juventus - Milano","2 - 2","Varglien II","Micheloni",16,"1 - 0"
92,"SerA","11/5/1939","Juventus - Milano","2 - 2","Bo","Micheloni",24,"2 - 1"
93,"SerA","3/17/1940","Milano - Juventus","1 - 2","Buscaglia","Zorzan",17,"0 - 1"
94,"SerA","3/17/1940","Milano - Juventus","1 - 2","Bellini","Zorzan","67","1 - 2"
95,"SerA","1/12/1941","Milano - Juventus","2 - 2","Bo","Micheloni",32,"1 - 1"
96,"SerA","1/12/1941","Milano - Juventus","2 - 2","Gabetto","Micheloni","58","2 - 2"
97,"SerA","4/27/1941","Juventus - Milano","1 - 2","Lushta","Zorzan",21,"1 - 0"
98,"SerA","11/16/1941","Juventus - Milano","3 - 2","Banfi","Zorzan",12,"1 - 0"
99,"SerA","11/16/1941","Juventus - Milano","3 - 2","Colaussi","Zorzan",27,"2 - 0"
100,"SerA","11/16/1941","Juventus - Milano","3 - 2","Lushta","Zorzan",42,"3 - 0"
101,"SerA","3/8/1942","Milano - Juventus","1 - 1","Sentimenti III pen.","Rossetti G.",28,"0 - 1"
102,"CI","6/21/1942","Milano - Juventus","1 - 1","Bellini","Rossetti G.","67","0 - 1"
103,"CI","6/28/1942","Juventus - Milano","4 - 1","Lushta","Rossetti G.",29,"1 - 0"
104,"CI","6/28/1942","Juventus - Milano","4 - 1","Sentimenti III pen.","Rossetti G.",34,"2 - 0"
105,"CI","6/28/1942","Juventus - Milano","4 - 1","Lushta","Rossetti G.","49","3 - 1"
106,"CI","6/28/1942","Juventus - Milano","4 - 1","Lushta","Rossetti G.","71","4 - 1"
107,"SerA","10/4/1942","Juventus - Milano","1 - 1","Sentimenti III","Rossetti G.",35,"1 - 0"
108,"NOGU","10/21/1945","Milan - Juventus","1 - 1","Piola pen.","Rossetti G.","86","1 - 1"
109,"NOGU","1/30/1946","Juventus - Milan","2 - 2","Magni","Zotti",22,"1 - 2"
110,"NOGU","1/30/1946","Juventus - Milan","2 - 2","Depetrini","Zotti",45,"2 - 2"
111,"NOGU","5/26/1946","Milan - Juventus","1 - 1","Magni","Rossetti G.","80","1 - 1"
112,"NOGU","7/14/1946","Juventus - Milan","3 - 1","Sentimenti III","Rossetti G.",34,"1 - 0"
113,"NOGU","7/14/1946","Juventus - Milan","3 - 1","Rava pen.","Rossetti G.","59","2 - 1"
114,"NOGU","7/14/1946","Juventus - Milan","3 - 1","Sentimenti III","Rossetti G.","67","3 - 1"
115,"SerA","10/6/1946","Milan - Juventus","3 - 3","Candiani","Rossetti G.",43,"2 - 1"
116,"SerA","10/6/1946","Milan - Juventus","3 - 3","Vycpálek","Rossetti G.","76","3 - 2"
117,"SerA","10/6/1946","Milan - Juventus","3 - 3","Magni","Rossetti G.","90","3 - 3"
118,"SerA","3/2/1947","Juventus - Milan","1 - 2","Sentimenti III pen.","Rossetti G.","82","1 - 2"
119,"SerA","5/6/1948","Juventus - Milan","2 - 1","Angeleri","Rossetti G.",23,"1 - 0"
120,"SerA","5/6/1948","Juventus - Milan","2 - 1","Boniperti G.","Rossetti G.","56","2 - 0"
121,"SerA","11/28/1948","Milan - Juventus","1 - 1","Boniperti G.","Rossetti G.",8,"0 - 1"
122,"SerA","4/10/1949","Juventus - Milan","1 - 1","Muccinelli","Milanese","77","1 - 1"
123,"SerA","10/2/1949","Milan - Juventus","0 - 1","Martino","Milanese","51","0 - 1"
124,"SerA","2/5/1950","Juventus - Milan","1 - 7","Hansen J.","Buffon",12,"1 - 0"
125,"SerA","10/22/1950","Juventus - Milan","1 - 1","Hansen K.A. pen.","Buffon","67","1 - 1"
126,"SerA","12/16/1951","Milan - Juventus","1 - 1","Hansen J.","Bardelli","54","0 - 1"
127,"SerA","5/4/1952","Juventus - Milan","3 - 1","Vivolo","Bardelli",4,"1 - 0"
128,"SerA","5/4/1952","Juventus - Milan","3 - 1","Boniperti G.","Bardelli",18,"2 - 0"
129,"SerA","5/4/1952","Juventus - Milan","3 - 1","Præst","Bardelli","65","3 - 0"
130,"SerA","4/12/1953","Milan - Juventus","1 - 2","Præst","Buffon",11,"0 - 1"
131,"SerA","4/12/1953","Milan - Juventus","1 - 2","Boniperti G.","Buffon","66","1 - 2"
132,"SerA","5/2/1954","Juventus - Milan","1 - 0","Hansen J.","Buffon",11,"1 - 0"
133,"SerA","1/2/1955","Juventus - Milan","3 - 4","Manente pen.","Buffon",20,"1 - 1"
134,"SerA","1/2/1955","Juventus - Milan","3 - 4","Montico","Buffon","74","2 - 4"
135,"SerA","1/2/1955","Juventus - Milan","3 - 4","Boniperti G.","Buffon","88","3 - 4"
136,"SerA","5/15/1955","Milan - Juventus","3 - 1","Boniperti G.","Buffon",26,"0 - 1"
137,"SerA","12/26/1955","Milan - Juventus","3 - 1","Colella","Buffon","48","2 - 1"
138,"SerA","3/31/1957","Milan - Juventus","4 - 1","Conti R.","Buffon","79","4 - 1"
139,"SerA","10/20/1957","Milan - Juventus","1 - 1","Sivori","Soldan",33,"0 - 1"
140,"SerA","3/9/1958","Juventus - Milan","1 - 0","Charles pen.","Alfieri","51","1 - 0"
141,"SerA","11/16/1958","Juventus - Milan","4 - 5","Boniperti G.","Buffon",39,"1 - 3"
142,"SerA","11/16/1958","Juventus - Milan","4 - 5","Corradi","Buffon","62","2 - 3"
143,"SerA","11/16/1958","Juventus - Milan","4 - 5","Charles","Buffon","73","3 - 4"
144,"SerA","11/16/1958","Juventus - Milan","4 - 5","Sivori","Buffon","87","4 - 4"
145,"SerA","3/29/1959","Milan - Juventus","1 - 1","Boniperti G.","Soldan","73","1 - 1"
146,"SerA","1/10/1960","Milan - Juventus","0 - 2","Stacchini","Ghezzi","51","0 - 1"
147,"SerA","1/10/1960","Milan - Juventus","0 - 2","Cervato","Ghezzi","74","0 - 2"
148,"SerA","5/15/1960","Juventus - Milan","3 - 1","Sivori","Alfieri","55","1 - 0"
149,"SerA","5/15/1960","Juventus - Milan","3 - 1","Sivori","Alfieri","74","2 - 1"
150,"SerA","5/15/1960","Juventus - Milan","3 - 1","Boniperti G.","Alfieri","81","3 - 1"
